lat,lon,time,week1,week2,week3,week4,weekm0,weekm1,weekm2,weekm3,later,clim_later,clim_week1,clim_week2,clim_week3,clim_week4,clim_weekm0,clim_weekm1,clim_weekm2,clim_weekm3,clim_mok_later,clim_mok_week1,clim_mok_week2,clim_mok_week3,clim_mok_week4,clim_mok_weekm0,clim_mok_weekm1,clim_mok_weekm2,clim_mok_weekm3,clim_con_later,clim_con_week1,clim_con_week2,clim_con_week3,clim_con_week4,
28,80,6/3/2025,0.023317615,0.166557693,0.34931874,0.168159405,0,0,0,0,0.292646548,0.33405904,0.078261717,0.087171132,0.238264195,0.216844772,0.041129405,0.004257435,1.02E-05,0,0.356290266,0.081515467,0.088969105,0.244404367,0.228820795,0.117402481,0.04895198,0.006580983,1.64E-04,0.356290266,0.081515467,0.088969105,0.244404367,0.228820795,1
30,78,6/3/2025,0.031175835,0.165709569,0.33337627,0.222638845,0,0,0,0,0.247099481,0.308699478,0.083465563,0.127902127,0.214051702,0.219578016,0.040112355,0.005930017,1.32E-04,0,0.330624633,0.08594607,0.130884646,0.221442382,0.231102269,0.152031854,0.050254486,0.003738153,1.57E-05,0.330624633,0.08594607,0.130884646,0.221442382,0.231102269,1
32,76,6/3/2025,0.019125072,0.051141403,0.193935437,0.31673518,0,0,0,0,0.419062908,0.373958945,0.071116627,0.115865031,0.182061311,0.241426868,0.014996513,5.73E-04,0,0,0.38857723,0.069615655,0.116059951,0.181312753,0.244434411,0.093332346,0.029818579,0.002537523,1.47E-06,0.38857723,0.069615655,0.116059951,0.181312753,0.244434411,1
20,76,6/10/2025,0.245599337,0.346046769,0.152912756,0.092680971,0,0,0,0,0.162760167,0.104948556,0.236461664,0.174910425,0.108910292,0.067430373,0.181506569,0.088979086,0.024197605,0.003700401,0.162015141,0.33388473,0.251404174,0.155912595,0.096783359,0.191473843,0.25900268,0.152759275,0.005878168,0.162015141,0.33388473,0.251404174,0.155912595,0.096783359,1
20,78,6/10/2025,0.295148395,0.361248819,0.162841732,0.075490314,0,0,0,0,0.105270741,0.068197951,0.291439416,0.228918322,0.100682609,0.042283842,0.194700663,0.070517708,0.003255166,0,0.093410643,0.386771912,0.322012284,0.137304083,0.060501079,0.234808454,0.265772466,0.122587003,0.004708573,0.093410643,0.386771912,0.322012284,0.137304083,0.060501079,1
20,80,6/10/2025,0.279563266,0.368104997,0.215536548,0.075181067,0,0,0,0,0.061614121,0.033354472,0.272057625,0.26711153,0.129925326,0.050591093,0.159696407,0.069227272,0.017220736,8.13E-04,0.045123552,0.353371964,0.35566793,0.176829497,0.069007057,0.270902569,0.264747652,0.090006226,0.00341028,0.045123552,0.353371964,0.35566793,0.176829497,0.069007057,1
20,82,6/10/2025,0.329719911,0.389069271,0.192279505,0.034314369,0,0,0,0,0.054616944,0.017842895,0.281525404,0.247697319,0.114316433,0.022322045,0.208608637,0.084903308,0.020794288,0.001986958,0.026299981,0.404385885,0.362711984,0.171864888,0.034737262,0.271256049,0.327357373,0.10272265,0.001432845,0.026299981,0.404385885,0.362711984,0.171864888,0.034737262,1
20,84,6/10/2025,0.484996315,0.347978657,0.09584562,0.016426276,0,0,0,0,0.054753131,0.005751727,0.283533742,0.20914571,0.098540669,0.034436251,0.216982911,0.111458927,0.032773072,0.007057839,0.009948414,0.442098721,0.332669446,0.15884316,0.056440259,0.254470103,0.325334934,0.174234464,0.002020764,0.009948414,0.442098721,0.332669446,0.15884316,0.056440259,1
22,76,6/10/2025,0.183924126,0.521882159,0.158653024,0.067406567,0,0,0,0,0.068134124,0.135134057,0.20895012,0.21749659,0.15572085,0.104066068,0.11369324,0.052239947,0.012158003,5.38E-04,0.166389388,0.249443849,0.265369804,0.190623543,0.128173417,0.189624598,0.184921287,0.093793125,0.014488187,0.166389388,0.249443849,0.265369804,0.190623543,0.128173417,1
22,78,6/10/2025,0.27315116,0.451575162,0.168492059,0.062376213,0,0,0,0,0.044405406,0.078524993,0.233165688,0.244741181,0.162040618,0.082615104,0.137190494,0.052251897,0.009250219,2.14E-04,0.099531988,0.285369832,0.305586844,0.204602852,0.104908484,0.230771802,0.199617619,0.0840004,0.007799923,0.099531988,0.285369832,0.305586844,0.204602852,0.104908484,1
22,80,6/10/2025,0.368604078,0.376166761,0.166644695,0.061362551,0,0,0,0,0.027221914,0.039313478,0.246106137,0.269331806,0.168610158,0.075934031,0.140856915,0.049452203,0.010005278,3.88E-04,0.050675155,0.301602194,0.336317595,0.213979099,0.097425958,0.268736654,0.233927507,0.066943895,0.002761006,0.050675155,0.301602194,0.336317595,0.213979099,0.097425958,1
22,82,6/10/2025,0.468191983,0.333969456,0.140731221,0.029748364,0,0,0,0,0.027358977,0.028829983,0.270702071,0.270940748,0.139353895,0.047397333,0.173883185,0.059796475,0.008978808,1.15E-04,0.038504333,0.349042532,0.35893121,0.18768622,0.065835705,0.278401895,0.290487945,0.062185125,6.69E-04,0.038504333,0.349042532,0.35893121,0.18768622,0.065835705,1
22,84,6/10/2025,0.64773746,0.266411078,0.066688998,0.011310282,0,0,0,0,0.007852182,0.009268055,0.290460622,0.298658355,0.134257437,0.044697787,0.175427769,0.042827424,0.004388772,1.21E-05,0.012508394,0.36372081,0.387334549,0.175897235,0.060539012,0.283176542,0.243645318,0.089421057,0.004781869,0.012508394,0.36372081,0.387334549,0.175897235,0.060539012,1
22,86,6/10/2025,0.699016287,0.215270112,0.053506998,0.016072995,0,0,0,0,0.016133608,0.00139159,0.283357119,0.199829887,0.074870813,0.035644323,0.233249104,0.129877232,0.039139594,0.002636615,0.002836068,0.467547017,0.340809474,0.126813097,0.061994344,0.247297008,0.349715219,0.188200633,0.001360414,0.002836068,0.467547017,0.340809474,0.126813097,0.061994344,1
22,88,6/10/2025,0.899172076,0.064015709,0.016860203,0.009271523,0,0,0,0,0.010680489,0.004103866,0.284598146,0.163231542,0.05613235,0.028177374,0.264764699,0.151599566,0.041108849,0.006257518,0.008763589,0.518716862,0.312292341,0.106932352,0.053294858,0.202337024,0.385204538,0.24761208,0,0.008763589,0.518716862,0.312292341,0.106932352,0.053294858,1
24,76,6/10/2025,0.145001621,0.494144702,0.141612937,0.110808492,0,0,0,0,0.108432248,0.236290585,0.143381011,0.185731398,0.188019763,0.154217585,0.072495981,0.018053768,0.001766755,4.11E-05,0.263867109,0.154848757,0.202835757,0.207062139,0.171386239,0.158905333,0.103646672,0.033870938,0.003910842,0.263867109,0.154848757,0.202835757,0.207062139,0.171386239,1
24,78,6/10/2025,0.266834814,0.469369321,0.119467694,0.092893309,0,0,0,0,0.051434861,0.203757958,0.154895324,0.216788449,0.196479248,0.141323571,0.066430689,0.016834772,0.003261075,2.27E-04,0.226284559,0.165258607,0.235774535,0.215942642,0.156739657,0.191730573,0.117351282,0.023530552,9.17E-04,0.226284559,0.165258607,0.235774535,0.215942642,0.156739657,1
24,80,6/10/2025,0.35314197,0.371108371,0.136921831,0.09302761,0,0,0,0,0.045800219,0.147166068,0.159967201,0.228160794,0.221085811,0.155675764,0.070569637,0.016152407,0.001220031,0,0.163767201,0.170911683,0.248486988,0.242006383,0.174827745,0.19973755,0.114453696,0.023261054,9.38E-04,0.163767201,0.170911683,0.248486988,0.242006383,0.174827745,1
24,82,6/10/2025,0.453326686,0.315779551,0.151713338,0.047286522,0,0,0,0,0.031893902,0.048898645,0.199337256,0.279259425,0.230368354,0.114055768,0.100119087,0.026699119,0.001202058,0,0.058449053,0.222633166,0.317315199,0.266368204,0.135234377,0.270119445,0.149313403,0.03000543,8.95E-04,0.058449053,0.222633166,0.317315199,0.266368204,0.135234377,1
24,84,6/10/2025,0.701576629,0.185348181,0.063610373,0.025488301,0,0,0,0,0.023976516,0.042195493,0.218140141,0.24584144,0.19358405,0.104407312,0.133750309,0.054223365,0.007692373,1.62E-04,0.054901519,0.266113654,0.303856756,0.242095467,0.133032604,0.313218163,0.175963023,0.048864674,0.00137368,0.054901519,0.266113654,0.303856756,0.242095467,0.133032604,1
24,86,6/10/2025,0.73605586,0.187573907,0.036175515,0.017377153,0,0,0,0,0.022817565,0.019725183,0.234879374,0.246140145,0.127524222,0.058759938,0.191922639,0.097317118,0.022360691,0.001368887,0.029743727,0.335655328,0.357786728,0.188657633,0.088156584,0.252976175,0.284300437,0.134328166,0.006084347,0.029743727,0.335655328,0.357786728,0.188657633,0.088156584,1
24,88,6/10/2025,0.80822012,0.13846547,0.021799937,0.012307205,0,0,0,0,0.019207269,0.00614971,0.247491223,0.182704749,0.044580529,0.019941501,0.295673686,0.159666044,0.03853516,0.005238912,0.01304613,0.485764242,0.369365071,0.091430039,0.040394517,0.182553207,0.450220605,0.20895867,0,0.01304613,0.485764242,0.369365071,0.091430039,0.040394517,1
26,78,6/10/2025,0.123346359,0.460368194,0.123927984,0.133222877,0,0,0,0,0.159134585,0.281863831,0.090982926,0.184323064,0.20438831,0.187761895,0.031550871,0.016645978,0.002451351,2.86E-05,0.303023108,0.092265554,0.190584844,0.215291599,0.198834895,0.129493017,0.071606394,0.025001136,0.004607857,0.303023108,0.092265554,0.190584844,0.215291599,0.198834895,1
26,80,6/10/2025,0.180854169,0.473057707,0.138902694,0.0935911,0,0,0,0,0.11359433,0.244899027,0.096490593,0.181400405,0.21919659,0.194907999,0.048066675,0.013701396,0.001322483,1.31E-05,0.266577046,0.099934799,0.190014564,0.232968919,0.210504672,0.141043713,0.083612808,0.028917995,0.004399672,0.266577046,0.099934799,0.190014564,0.232968919,0.210504672,1
26,82,6/10/2025,0.389225267,0.3899979,0.08984303,0.057639241,0,0,0,0,0.073294562,0.20128408,0.108481908,0.201639903,0.230446599,0.207008184,0.043685144,0.007323599,1.26E-04,0,0.217586932,0.110617936,0.209476372,0.242263054,0.220055705,0.15682503,0.073267884,0.016209591,0.001318535,0.217586932,0.110617936,0.209476372,0.242263054,0.220055705,1
26,84,6/10/2025,0.696357343,0.200253757,0.037302495,0.02236201,0,0,0,0,0.043724395,0.048269676,0.190209626,0.241758417,0.216265187,0.106408102,0.122750352,0.063815864,0.010263293,2.57E-04,0.062363581,0.232339404,0.298000501,0.27056179,0.136734724,0.24896794,0.179220053,0.061099265,0.004421654,0.062363581,0.232339404,0.298000501,0.27056179,0.136734724,1
